collocation;count;count_nested;length;lambda;z
was still;12;0;2;2.7265903489408525;8.631268002104004
which are;19;0;2;2.0409827177921747;8.628184045619353
briony lodge;11;0;2;13.280431028933208;8.621689938608828
the coronet;19;0;2;3.536389137423047;8.599281474704727
thought of;16;0;2;2.4567969338692746;8.598800110525843
before he;14;0;2;2.39666997188676;8.57704458466868
yet i;13;0;2;2.6049289117167387;8.568119412678765
which we;20;0;2;1.9735845867372603;8.565718324868065
is always;10;0;2;2.9259235352106208;8.52878154405501
who was;23;0;2;1.8526794707874656;8.508520704204384
account of;13;0;2;4.632932806267007;8.505396363077686
of us;27;0;2;1.7657885745205402;8.500547853712066
to give;15;0;2;2.5522008149201874;8.496835554175766
which were;19;0;2;2.0051397302879836;8.485458494625915
my room;14;0;2;2.36117911201462;8.442645741578296
the time;37;0;2;1.5917683612398092;8.437293257050722
thought that;12;0;2;2.645849575549202;8.378021755211764
of this;41;0;2;1.3856750314808974;8.374016949096575
air of;11;0;2;4.104050981989442;8.356325494063476
i cried;14;0;2;2.6821133847885616;8.348227968196806
a gentleman;13;0;2;2.749212209513055;8.306005844068931
his long;12;0;2;2.5472574162696597;8.302322678685261
a strong;12;0;2;2.953801736870752;8.291680686329537
has not;15;0;2;2.1945546659727846;8.291609185598828
to meet;11;0;2;4.05707546694479;8.260979576413039
that this;31;0;2;1.54761412538965;8.251947333719896
the king;21;0;2;4.270422782019351;8.234840518226427
of events;12;0;2;4.522305909369576;8.220786757739033
the letter;17;0;2;3.042106789855011;8.208908802000677
confess that;12;0;2;5.69094270810906;8.208293612833403
we could;14;0;2;2.2403694456132563;8.19794926160434
friend and;10;0;2;2.852646898428174;8.190326368558232
while i;12;0;2;2.5633838290831976;8.146694119606064
found that;14;0;2;2.319318522768975;8.124812768051509
i hope;12;0;2;2.947095420003361;8.1227458755983
